date,1. open,2. high,3. low,4. close,5. volume,SMA,RSI,OBV,Real Upper Band,Real Middle Band,Real Lower Band,sentiment,relevance
2000-01-07,,,,,,0.7595,49.8933,4838976033.0,0.8085,0.7536,0.6988,,
2000-01-10,,,,,,0.7594,48.2384,4333911528.0,0.8065,0.7517,0.6968,,
2000-01-11,,,,,,0.7541,43.7711,3892362287.0,0.8094,0.7493,0.6893,,
2000-01-12,,,,,,0.7473,39.4014,2916292511.0,0.8179,0.7465,0.675,,
2000-01-13,,,,,,0.7437,48.8557,3948978343.0,0.818,0.7464,0.6748,,
2000-01-14,,,,,,0.7443,51.9705,4339354733.0,0.8187,0.7472,0.6757,,
2000-01-18,,,,,,0.7474,54.7834,4798532792.0,0.8215,0.7486,0.6758,,
2000-01-19,,,,,,0.7505,56.822,5396176589.0,0.8276,0.7518,0.6761,,
2000-01-20,,,,,,0.7576,61.7423,7227311220.0,0.843,0.756,0.6689,,
2000-01-21,,,,,,0.7621,59.4404,6731385925.0,0.8537,0.7602,0.6668,,
2000-01-24,,,,,,0.7591,54.3945,6290508685.0,0.8558,0.7613,0.6667,,
2000-01-25,,,,,,0.7643,58.8548,6787654782.0,0.8665,0.7661,0.6657,,
2000-01-26,,,,,,0.7676,56.8008,6420496015.0,0.8733,0.7706,0.6679,,
2000-01-27,,,,,,0.7757,56.6045,6080351675.0,0.8791,0.7741,0.6691,,
2000-01-28,,,,,,0.7768,48.6258,5657002452.0,0.8793,0.7746,0.6699,,
2000-01-31,,,,,,0.78,50.5344,6358683153.0,0.8797,0.775,0.6702,,
2000-02-01,,,,,,0.784,47.4172,6040647635.0,0.8714,0.7706,0.6697,,
2000-02-02,,,,,,0.7903,46.1557,5576451971.0,0.8709,0.7692,0.6675,,
2000-02-03,,,,,,0.7938,50.5804,6051646046.0,0.8705,0.7689,0.6673,,
2000-02-04,,,,,,0.7978,54.7536,6476966471.0,0.8734,0.7738,0.6742,,
2000-02-07,,,,,,0.8032,59.5113,6918034112.0,0.884,0.7793,0.6745,,
2000-02-08,,,,,,0.8077,60.115,7326677720.0,0.8939,0.7857,0.6774,,
2000-02-09,,,,,,0.8072,57.5481,7027312621.0,0.8959,0.7931,0.6904,,
2000-02-10,,,,,,0.8084,58.2981,7330295323.0,0.8863,0.803,0.7196,,
2000-02-11,,,,,,0.8097,52.8687,7118043911.0,0.8829,0.8075,0.732,,
2000-02-14,,,,,,0.8116,58.9831,7485583478.0,0.8888,0.8132,0.7377,,
2000-02-15,,,,,,0.8164,61.4187,7971327963.0,0.9001,0.8189,0.7377,,
2000-02-16,,,,,,0.8186,55.9458,7593081185.0,0.9039,0.8217,0.7395,,
2000-02-17,,,,,,0.8257,56.5861,7882579074.0,0.9053,0.8222,0.7392,,
2000-02-18,,,,,,0.8297,52.6115,7649137241.0,0.9052,0.8222,0.7392,,
2000-02-22,,,,,,0.8369,55.0178,8071433663.0,0.9083,0.8251,0.7418,,
2000-02-23,,,,,,0.8463,57.2461,8544533336.0,0.9119,0.8266,0.7412,,
2000-02-24,,,,,,0.8526,55.9614,8168100960.0,0.9153,0.8284,0.7415,,
2000-02-25,,,,,,0.8539,50.3624,7918956711.0,0.9155,0.8286,0.7417,,
2000-02-28,,,,,,0.8535,53.3589,8247285039.0,0.9146,0.8329,0.7512,,
2000-02-29,,,,,,0.8533,54.7581,8616247007.0,0.9154,0.837,0.7587,,
2000-03-01,,,,,,0.8628,66.9763,9693251284.0,0.9382,0.8483,0.7583,,
2000-03-02,,,,,,0.8674,58.0364,9381991773.0,0.9368,0.857,0.7772,,
2000-03-03,,,,,,0.8777,61.9822,9705358496.0,0.9485,0.8662,0.7839,,
2000-03-06,,,,,,0.883,59.6565,9494798286.0,0.9573,0.8729,0.7885,,
2000-03-07,,,,,,0.885,56.8519,9221786813.0,0.9627,0.8762,0.7896,,
2000-03-08,,,,,,0.8893,55.9776,8950556142.0,0.9666,0.8788,0.791,,
2000-03-09,,,,,,0.8932,56.1861,9227274818.0,0.9702,0.8824,0.7947,,
2000-03-10,,,,,,0.901,59.1065,9475881466.0,0.9773,0.887,0.7967,,
2000-03-13,,,,,,0.905,54.1735,9171924363.0,0.9762,0.8917,0.8073,,
2000-03-14,,,,,,0.9039,47.3993,8743344735.0,0.9764,0.8912,0.8059,,
2000-03-15,,,,,,0.9045,49.3322,9186954778.0,0.9758,0.8901,0.8044,,
2000-03-16,,,,,,0.9105,54.1496,9565055956.0,0.9776,0.8929,0.8083,,
2000-03-17,,,,,,0.9168,57.0018,9870099461.0,0.9822,0.8967,0.8113,,
2000-03-20,,,,,,0.9213,54.8649,9665609657.0,0.9822,0.9011,0.8201,,
2000-03-21,,,,,,0.9237,63.6307,10189938181.0,1.0002,0.909,0.8179,,
2000-03-22,,,,,,0.9356,68.702,10757935548.0,1.0357,0.9195,0.8033,,
2000-03-23,,,,,,0.9428,65.6334,10195370186.0,1.0574,0.9293,0.8012,,
2000-03-24,,,,,,0.9497,62.8817,9748456140.0,1.0678,0.9399,0.8121,,
2000-03-27,,,,,,0.9587,63.43,10027638819.0,1.0785,0.9498,0.8211,,
2000-03-28,,,,,,0.9678,62.9352,9824672217.0,1.0868,0.959,0.8311,,
2000-03-29,,,,,,0.9752,59.243,9584835178.0,1.0914,0.9611,0.8308,,
2000-03-30,,,,,,0.9752,49.2945,9170434764.0,1.0914,0.9625,0.8336,,
